Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,66000.000000,68917.453125,65160.898438,67298.351563,67251.835938,50267
2020-10-30,67748.000000,68450.000000,64600.050781,65303.250000,65258.121094,51521
2020-11-02,65500.000000,66637.203125,64760.050781,66226.046875,66180.281250,32674
2020-11-03,66645.000000,67999.000000,66567.648438,67676.250000,67629.476563,29445
2020-11-04,67320.250000,69250.000000,67223.500000,68449.851563,68402.546875,33722
2020-11-05,69000.000000,69890.101563,68208.046875,68568.500000,68521.117188,32905
2020-11-06,69250.000000,69900.000000,68139.851563,68516.851563,68469.500000,47996
2020-11-09,69100.000000,70325.703125,68665.601563,69841.046875,69792.781250,36658
2020-11-10,70444.000000,70736.296875,68973.953125,69367.000000,69319.070313,36190
2020-11-11,69480.000000,70490.000000,67919.148438,68589.148438,68541.750000,43328
2020-11-12,68999.000000,69579.750000,68650.000000,69386.898438,69338.945313,20708
2020-11-13,69500.000000,72499.000000,69450.000000,71826.203125,71776.570313,48897
2020-11-14,null,null,null,null,null,null
2020-11-17,72288.000000,74650.000000,71926.000000,74095.453125,74044.242188,48299
2020-11-18,74095.453125,75400.000000,72374.296875,75041.000000,74992.171875,62263
2020-11-19,74500.000000,77399.000000,74106.953125,76831.351563,76781.367188,64112
2020-11-20,76959.000000,79500.000000,76800.000000,79069.398438,79017.953125,80370
2020-11-23,81160.000000,81249.398438,79200.046875,80114.500000,80062.375000,60161
2020-11-24,80300.000000,80950.000000,79100.546875,79840.148438,79788.203125,56578
2020-11-25,80800.000000,80800.000000,75653.000000,76311.750000,76262.101563,52953
2020-11-26,77000.000000,77543.953125,74305.250000,75820.046875,75770.718750,77903
2020-11-27,76500.000000,79228.953125,75300.000000,77738.648438,77688.070313,281075
2020-12-01,79400.000000,80102.351563,77777.500000,79564.296875,79512.531250,57627
2020-12-02,79800.000000,80000.000000,78631.953125,79781.250000,79729.343750,38286
2020-12-03,79773.296875,79800.000000,78500.000000,78894.648438,78843.320313,28657
2020-12-04,79399.953125,79600.000000,78200.000000,78698.148438,78646.945313,35870
2020-12-07,77887.296875,79995.000000,77887.296875,79527.648438,79475.906250,25469
2020-12-08,79600.000000,79984.296875,78862.796875,79161.796875,79110.296875,23532
2020-12-09,79495.000000,79600.796875,78000.046875,78371.296875,78320.304688,18683
2020-12-10,78499.000000,78745.351563,77350.101563,77615.203125,77564.703125,22452
2020-12-11,77990.000000,78396.703125,77300.000000,77878.351563,77827.679688,20832
2020-12-14,78400.000000,78400.000000,77300.000000,77547.648438,77497.187500,15865
2020-12-15,77547.648438,77800.000000,76800.000000,77286.351563,77236.070313,14509
2020-12-16,77383.000000,79180.398438,77380.000000,78618.851563,78567.703125,29876
2020-12-17,78625.000000,79166.296875,77000.000000,77291.148438,77240.867188,19833
2020-12-18,77900.000000,78190.000000,76850.000000,77571.546875,77521.070313,34069
2020-12-21,77638.000000,77793.148438,74545.453125,75277.703125,75228.726563,24201
2020-12-22,75477.000000,76709.851563,73777.750000,76096.351563,76046.843750,27697
2020-12-23,76000.000000,76850.000000,75406.398438,75854.851563,75805.500000,15368
2020-12-24,76400.000000,76549.953125,75550.000000,75892.351563,75842.976563,14445
2020-12-28,76100.000000,76840.203125,75008.851563,75366.703125,75317.671875,18088
2020-12-29,75899.000000,76000.000000,74860.000000,75677.546875,75628.312500,14694
2020-12-30,75561.046875,77672.750000,75300.000000,76925.101563,76875.054688,16171
2020-12-31,76600.000000,77339.953125,75310.148438,75750.453125,75701.164063,28028
2021-01-01,76000.000000,76334.351563,75550.000000,76021.648438,75972.187500,13254
2021-01-04,76200.648438,78900.000000,75900.000000,78402.203125,78351.195313,28145
2021-01-05,77800.000000,79373.000000,77700.000000,79053.000000,79001.562500,25539
2021-01-06,79053.000000,79800.000000,77619.203125,78752.250000,78701.007813,30427
2021-01-07,79500.000000,79500.000000,77000.000000,77332.601563,77282.281250,21765
2021-01-08,77780.000000,81399.000000,77600.000000,80602.101563,80549.656250,31729
2021-01-11,80700.000000,83000.000000,80500.000000,82507.898438,82454.218750,48475
2021-01-12,82400.000000,87000.000000,81712.398438,85746.898438,85691.109375,87936
2021-01-13,86200.000000,87399.953125,85300.000000,85642.296875,85586.578125,57619
2021-01-14,86300.000000,89938.101563,85785.000000,88749.648438,88691.898438,55671
2021-01-15,89150.000000,89823.898438,86401.296875,87551.750000,87494.789063,57495
2021-01-18,87800.000000,88165.601563,85111.250000,85661.851563,85606.117188,30785
